Experiment;Butterfly_id;Sex;Dry_mass_g;Ecl_date;Death_date;Lifespan_d;Natural_death;NMR_id;Lotaustralin_%;Linamarin_%;Total_cyanogens_%,,,,
Lifespan;F93;F;0,0162;18.7.2017;8.8.2017;21;Y;884;0,254718766;0,733788778;0,988507544
Lifespan;F112;M;0,02;25.7.2017;10.8.2017;16;Y;878;0,352623397;0,939731733;1,292355129
Lifespan;F122;F;0,0147;26.7.2017;10.8.2017;15;Y;875;0,34122728;0,970812213;1,312039494
Lifespan;F133;F;0,0187;31.7.2017;4.8.2017;4;Y;888;0,178251835;0,497919968;0,676171803
Lifespan;F139;M;0,0189;31.7.2017;6.8.2017;6;Y;885;0,149712254;0,261351878;0,411064132
Lifespan;F155;F;0,0226;1.8.2017;4.8.2017;3;Y;887;0,170255534;0,557854779;0,728110313
Lifespan;F160;F;0,0266;2.8.2017;9.8.2017;7;Y;883;0,128938783;0,336314364;0,465253148
Lifespan;F169;F;0,0244;3.8.2017;6.8.2017;3;Y;886;0,139685884;0,571988209;0,711674093
Lifespan;F180;F;0,0225;4.8.2017;10.8.2017;6;Y;877;0,384420238;0,965145117;1,349565355
Lifespan;F190;M;0,0218;6.8.2017;21.11.2017;107;Y;901;0,389880864;0,914249075;1,30412994
Lifespan;F209;M;0,0244;6.8.2017;10.8.2017;4;Y;876;0,187565637;0,586121638;0,773687275
Lifespan;F211;F;0,0236;6.8.2017;10.8.2017;4;Y;881;0,13125053;0,51057895;0,641829481
Lifespan;F217;F;0,0123;9.8.2017;10.8.2017;1;Y;882;0,171662859;0,344690758;0,516353617
Lifespan;F262;F;0,0206;15.8.2017;11.10.2017;57;Y;893;0,187825783;0,77745163;0,965277413
Lifespan;F320;M;0,0151;23.8.2017;10.10.2017;48;Y;895;0,412395969;0,63879578;1,51191749
Lifespan;F322;F;0,0169;23.8.2017;5.11.2017;74;Y;834;0,224507981;0,731602986;0,956110967
Lifespan;F378;F;0,0142;30.8.2017;9.11.2017;71;Y;899;0,183414284;0,802853741;0,986268025
Lifespan;F383;F;0,0142;30.8.2017;3.12.2017;95;Y;840;0,146429511;0,610711698;0,757141209
Lifespan;F414;M;0,0161;3.9.2017;NA;NA;Y;896;0,258963736;0,648888111;0,907851847
Lifespan;F434;M;0,0209;3.9.2017;29.11.2017;87;Y;904;0,343592554;0,623127913;0,966720467
Lifespan;F436;F;0,0141;3.9.2017;12.10.2017;39;Y;890;0,162670907;0,609288199;0,771959105
Lifespan;F470;F;0,0151;6.9.2017;20.11.2017;75;Y;898;0,085176448;0,596478078;0,681654526
Lifespan;F502;F;0,0164;7.9.2017;12.10.2017;35;Y;889;0,209785956;0,627741243;0,837527198
Lifespan;F511;M;0,0192;7.9.2017;11.10.2017;34;Y;894;0,298095387;0,575816013;0,873911399
Lifespan;F536;M;0,0227;8.9.2017;11.10.2017;33;Y;892;0,161478786;0,293113925;0,454592711
Lifespan;F587;F;0,0142;13.9.2017;21.11.2017;69;Y;897;0,182659493;0,592140348;0,774799841
Lifespan;F639;M;0,016;18.9.2017;12.10.2017;24;Y;891;0,294746;0,636461589;0,931207589
Lifespan;F733;F;0,0176;29.9.2017;29.11.2017;61;Y;837;0,206443996;0,720946621;0,927390617
Lifespan;F765;M;0,0179;6.10.2017;9.11.2017;34;Y;903;0,265855204;0,535472591;0,801327795
Lifespan;F785;F;0,0193;11.10.2017;5.11.2017;25;Y;835;0,336535235;0,824037959;1,160573195
Lifespan;F915;F;0,0166;5.11.2017;9.11.2017;4;Y;902;0,18401448;0,51386185;0,69787633
Lifespan;F940;M;0,0183;7.11.2017;22.11.2017;15;Y;838;0,153449483;0,354167118;0,5076166
Lifespan;F954;F;0,0192;8.11.2017;29.11.2017;21;Y;836;0,181425095;0,72954304;0,910968135
Lifespan;F1001;F;0,0171;12.11.2017;5.12.2017;23;Y;839;0,109687507;0,485194268;0,594881775
Lifespan;F1054;F;0,0131;16.11.2017;20.11.2017;4;Y;900;0,250360239;0,634119451;0,88447969
Lifespan;F1129;F;0,027;28.11.2017;5.12.2017;7;Y;841;0,334243949;1,111577301;1,44582125
